title,gender,country,taxType,taxInvestigationCover,isVatInvoiceRequired,isStatementRequired,businessType,contactType,recurring_fees,non_recurring_fees,number_of_associations,met_face_to_face,visited_business_address,is_uk_resident,is_uk_national,known_to_partner,reputable_referral,plausible_wealth_level,identity_verified,evidence_recorded,client_honest_assessment,wealth_plausible,adverse_records,beneficial_owners_verified,other_identity_concerns,risk_score,risk_label
Mrs,Prefer not to say,Russia,Trust,no,no,no,Charity,Both,6292.38,8903.8,8,no,yes,no,yes,yes,no,yes,no,no,no,yes,no,no,yes,100.0,High
Ms,Male,United Kingdom,Trust,yes,yes,yes,LLP,Primary,36481.48,842.94,0,no,no,yes,yes,no,no,no,no,yes,yes,no,no,yes,yes,94.45,High
Dr,Female,United Kingdom,Company,no,yes,no,LLP,Secondary,4793.28,3476.43,7,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,no,100.0,High
Ms,Female,United States,Trust,yes,no,yes,LLP,Secondary,29159.39,6394.98,0,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,46.12,Medium
Mrs,Other,United States,Trust,no,yes,no,Partnership,Primary,4945.9,13733.8,0,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,45.68,Medium
Mr,Prefer not to say,United Kingdom,Trust,yes,yes,no,LLP,Secondary,30375.39,9560.45,5,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,67.55,Medium
Mrs,Prefer not to say,United States,Partnership,no,no,yes,Limited Company,Both,22360.13,13890.74,3,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,73.57,High
Dr,Male,United Kingdom,Partnership,yes,yes,yes,Limited Company,Secondary,39965.85,18448.62,7,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,76.31,High
Mr,Other,United States,Partnership,no,no,no,Charity,Secondary,47102.72,19430.54,2,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,78.88,High
Mrs,Other,Iran,Trust,yes,yes,no,Limited Company,Both,23751.98,2776.45,10,yes,no,yes,no,no,yes,yes,no,yes,no,yes,no,no,yes,100.0,High
Dr,Prefer not to say,United Kingdom,Trust,yes,yes,no,Charity,Primary,42666.02,2196.66,4,no,no,yes,no,no,no,no,yes,no,yes,yes,yes,yes,no,92.0,High
Prof,Male,India,Individual,no,no,yes,Charity,Both,16861.8,3548.44,10,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes,87.72,High
Dr,Female,United States,Company,yes,yes,yes,Limited Company,Primary,16534.01,16735.94,10,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no,77.91,High
Prof,Other,United States,Trust,yes,yes,no,Limited Company,Secondary,35592.72,3049.29,4,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,56.28,Medium
Mrs,Prefer not to say,United Kingdom,Company,no,no,yes,Charity,Primary,28799.98,11174.71,3,yes,yes,yes,no,yes,yes,no,no,no,yes,no,yes,yes,no,84.46,High
Mr,Prefer not to say,India,Individual,no,no,yes,Partnership,Secondary,7809.98,20158.07,1,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,no,yes,72.85,High
Mr,Other,North Korea,Partnership,no,no,no,Charity,Secondary,18911.41,8920.79,7,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,no,69.68,Medium
Dr,Prefer not to say,Germany,Company,no,no,yes,LLP,Both,43632.99,1801.02,6,no,no,no,yes,no,no,yes,yes,no,yes,yes,yes,no,no,97.54,High
Mrs,Other,Nigeria,Company,yes,yes,yes,Charity,Secondary,8584.96,16361.51,8,no,no,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,100.0,High
Ms,Prefer not to say,United Kingdom,Company,no,no,yes,LLP,Both,14844.2,19763.89,8,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,38.21,Low
Dr,Prefer not to say,United Kingdom,Company,yes,yes,yes,Partnership,Secondary,35277.6,12736.92,6,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,75.14,High
Prof,Other,India,Company,no,no,yes,Partnership,Secondary,25793.55,8132.15,0,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,100.0,High
Prof,Female,United States,Trust,yes,no,no,Sole Trader,Both,12678.0,12347.65,5,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,97.19,High
Mr,Other,United Kingdom,Individual,yes,no,yes,Sole Trader,Both,43568.9,9723.06,8,yes,no,yes,no,yes,no,yes,yes,yes,no,no,no,yes,yes,70.29,High
Mr,Female,Russia,Partnership,no,no,yes,Charity,Secondary,19800.86,6132.55,7,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,80.09,High
Dr,Female,United Kingdom,Partnership,yes,no,yes,Partnership,Both,25960.02,24322.01,5,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,100.0,High
Prof,Other,China,Partnership,yes,no,no,Sole Trader,Both,1844.82,21793.82,1,no,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,76.31,High
Dr,Other,Germany,Individual,no,no,yes,Partnership,Both,29055.29,874.0,9,no,yes,no,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,98.15,High
Prof,Female,India,Trust,yes,no,no,Charity,Secondary,40548.07,10182.34,9,no,no,no,no,no,no,yes,yes,no,yes,yes,no,yes,no,92.81,High
Dr,Prefer not to say,North Korea,Trust,no,yes,no,Limited Company,Both,22926.41,6609.74,4,yes,yes,yes,no,yes,no,yes,no,no,yes,yes,no,yes,no,100.0,High
Mrs,Female,Turkey,Partnership,yes,yes,no,Limited Company,Primary,40739.75,23743.48,5,no,no,no,yes,no,yes,no,no,yes,no,no,yes,yes,yes,100.0,High
Dr,Male,India,Individual,no,no,no,Limited Company,Both,1704.25,3147.86,6,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,yes,100.0,High
Dr,Male,United States,Individual,yes,yes,no,LLP,Primary,30019.07,8023.99,1,no,no,no,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,83.09,High
Mrs,Prefer not to say,United Kingdom,Trust,yes,no,no,Charity,Secondary,8571.95,5831.77,7,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,yes,no,56.6,Medium
Dr,Male,Iran,Individual,yes,no,yes,Partnership,Primary,22290.94,14496.46,0,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,100.0,High
Dr,Prefer not to say,Nigeria,Company,no,no,yes,LLP,Both,25827.21,11174.14,5,no,yes,yes,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,100.0,High
Ms,Male,Mexico,Trust,yes,no,no,Partnership,Secondary,5661.04,18651.64,4,no,yes,yes,no,no,no,yes,no,no,no,yes,no,yes,no,100.0,High
Prof,Other,United Kingdom,Trust,yes,no,no,Partnership,Primary,7991.06,4007.8,9,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,81.48,High
Prof,Male,Brazil,Partnership,yes,no,yes,Partnership,Primary,44758.69,779.22,0,yes,no,no,no,yes,yes,no,no,no,yes,no,yes,no,no,100.0,High
Dr,Female,United Kingdom,Company,no,no,no,Limited Company,Secondary,45041.45,7603.69,1,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,yes,no,68.58,Medium
Prof,Male,United Kingdom,Individual,yes,no,yes,Charity,Secondary,19929.41,19013.52,6,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes,yes,100.0,High
Ms,Other,United Kingdom,Trust,no,no,no,Partnership,Both,3726.6,15962.18,3,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,78.02,High
Dr,Other,United Kingdom,Individual,no,yes,no,LLP,Both,16843.87,10973.66,5,no,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,91.92,High
Mrs,Female,North Korea,Partnership,no,yes,yes,Charity,Both,32529.14,16024.87,8,no,no,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,100.0,High
Mr,Other,Russia,Partnership,yes,no,no,Charity,Secondary,4002.81,14978.48,2,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,no,yes,100.0,High
Mr,Prefer not to say,United Kingdom,Partnership,no,no,no,Charity,Secondary,26996.54,23392.97,4,yes,yes,yes,no,no,no,yes,no,yes,no,no,yes,yes,no,93.62,High
Prof,Other,United States,Company,yes,no,no,Partnership,Primary,49670.51,11174.09,9,yes,no,yes,no,yes,no,no,yes,no,no,yes,yes,no,yes,100.0,High
Mrs,Other,Russia,Individual,no,yes,yes,LLP,Both,13591.37,23641.08,9,yes,no,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,100.0,High
Ms,Male,France,Partnership,yes,yes,yes,Limited Company,Both,27408.69,3878.63,1,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,no,89.95,High
Prof,Other,United Kingdom,Company,yes,yes,yes,Charity,Both,31379.34,8771.34,7,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,no,yes,63.46,Medium
Prof,Female,United Kingdom,Company,yes,no,yes,LLP,Both,1848.34,6552.99,10,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,67.63,Medium
Prof,Female,United Kingdom,Partnership,no,no,yes,Sole Trader,Primary,13701.75,15156.17,8,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,75.1,High
Mr,Female,United Kingdom,Trust,yes,no,yes,Charity,Both,16401.28,7579.49,6,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,26.23,Low
Ms,Female,Germany,Partnership,yes,yes,no,Partnership,Secondary,37407.82,21698.73,9,yes,no,no,no,yes,yes,no,yes,yes,no,yes,no,yes,no,57.36,Medium
Dr,Female,United Kingdom,Company,yes,yes,yes,LLP,Both,10563.36,7552.04,7,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,no,yes,82.4,High
Ms,Female,United Kingdom,Individual,yes,yes,yes,Charity,Secondary,41440.48,16566.61,5,no,no,yes,no,no,yes,yes,no,no,yes,no,no,yes,no,100.0,High
Mrs,Prefer not to say,Russia,Partnership,no,no,yes,Partnership,Secondary,31046.06,23668.8,9,no,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,no,96.53,High
Dr,Prefer not to say,United Kingdom,Partnership,no,yes,yes,LLP,Secondary,32774.16,23749.67,4,no,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,yes,100.0,High
Mrs,Other,China,Company,yes,no,yes,Limited Company,Primary,6945.9,17597.67,4,no,yes,no,no,yes,no,yes,no,no,yes,no,yes,yes,no,100.0,High
Mr,Female,United States,Company,no,no,no,Sole Trader,Secondary,36846.45,9475.66,2,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,83.81,High
Prof,Prefer not to say,United Kingdom,Trust,yes,yes,yes,Sole Trader,Both,26553.55,17698.64,8,no,no,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,no,76.59,High
Dr,Female,United Kingdom,Company,yes,yes,yes,Partnership,Both,16089.39,20060.19,9,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,100.0,High
Ms,Prefer not to say,United Kingdom,Partnership,no,no,yes,Partnership,Primary,4328.72,16241.79,10,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,100.0,High
Dr,Male,France,Partnership,yes,yes,no,Limited Company,Both,34351.24,3763.0,4,no,yes,yes,yes,no,no,no,no,no,yes,no,yes,no,no,100.0,High
Mrs,Male,United States,Partnership,no,no,no,Charity,Both,26903.52,6313.27,3,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,yes,100.0,High
Prof,Male,China,Company,yes,no,no,Charity,Both,21089.4,10887.23,6,no,no,yes,no,no,yes,yes,no,yes,no,yes,no,yes,yes,100.0,High
Prof,Female,India,Trust,no,yes,yes,Sole Trader,Primary,25044.81,14118.93,8,no,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,92.1,High
Ms,Other,United States,Partnership,no,no,yes,Limited Company,Both,29235.57,17485.97,2,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,yes,100.0,High
Ms,Prefer not to say,Turkey,Trust,no,yes,no,Limited Company,Primary,5250.08,19175.51,4,yes,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,100.0,High
Ms,Female,United States,Partnership,no,yes,no,Limited Company,Primary,14011.01,16953.3,3,yes,no,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,100.0,High
Mr,Prefer not to say,United Kingdom,Partnership,no,yes,yes,Sole Trader,Secondary,41746.71,15660.21,1,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,76.39,High
Mrs,Prefer not to say,Brazil,Partnership,no,yes,yes,Sole Trader,Primary,17005.12,4325.3,6,no,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes,91.37,High
Mrs,Other,Mexico,Individual,yes,no,yes,Sole Trader,Primary,23643.69,9466.5,3,no,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,yes,100.0,High
Mr,Male,Nigeria,Individual,yes,yes,yes,Charity,Both,20708.46,16422.07,10,yes,no,yes,yes,no,no,no,yes,yes,no,no,yes,yes,no,91.15,High
Prof,Male,Iran,Individual,yes,no,no,Charity,Both,23223.22,12399.5,4,yes,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,no,100.0,High
Ms,Female,Nigeria,Trust,no,yes,no,LLP,Secondary,38276.31,13625.42,10,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,100.0,High
Mr,Female,Nigeria,Trust,yes,yes,no,Limited Company,Secondary,15704.88,5516.12,0,yes,yes,no,no,no,yes,yes,no,no,no,no,no,yes,yes,100.0,High
Dr,Male,Nigeria,Partnership,yes,no,yes,Sole Trader,Secondary,35567.19,5429.54,9,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,82.68,High
Ms,Other,United Kingdom,Trust,no,no,yes,LLP,Both,10186.97,7630.94,7,no,no,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,no,41.72,Medium
Mrs,Female,China,Individual,yes,yes,yes,Limited Company,Secondary,39512.67,5809.83,6,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,100.0,High
Dr,Female,United Kingdom,Individual,no,no,no,Sole Trader,Secondary,20382.6,24556.28,10,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,77.9,High
Dr,Prefer not to say,France,Partnership,yes,no,no,LLP,Primary,21046.68,11871.66,9,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,87.69,High
Prof,Other,United Kingdom,Company,yes,no,no,Sole Trader,Both,32295.71,2934.47,0,yes,no,yes,yes,no,no,yes,no,yes,no,no,no,yes,yes,88.13,High
Dr,Female,United States,Individual,yes,no,no,Sole Trader,Secondary,43098.31,6392.65,7,no,no,no,no,no,yes,no,yes,no,no,yes,yes,yes,no,82.81,High
Mr,Other,Germany,Trust,yes,no,yes,Charity,Secondary,46003.27,10139.48,5,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,100.0,High
Prof,Female,United Kingdom,Company,no,no,no,Limited Company,Secondary,7967.77,11863.0,1,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,91.6,High
Prof,Female,Nigeria,Trust,yes,no,yes,Limited Company,Secondary,45947.03,1988.49,8,no,no,no,yes,no,yes,no,no,yes,no,no,yes,yes,yes,100.0,High
Mr,Female,United States,Company,yes,no,no,Partnership,Both,40251.87,20596.04,9,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,no,yes,100.0,High
Mr,Prefer not to say,United Kingdom,Partnership,yes,no,no,Sole Trader,Both,48924.99,23890.39,8,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,yes,100.0,High
Ms,Female,Nigeria,Individual,yes,yes,no,LLP,Secondary,41575.4,8070.92,8,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,100.0,High
Mrs,Female,Germany,Company,no,yes,no,Charity,Both,20296.12,22910.18,0,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,80.8,High
Mrs,Prefer not to say,United Kingdom,Partnership,yes,yes,no,Sole Trader,Secondary,20440.81,4513.6,2,no,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,72.38,High
Dr,Male,Iran,Partnership,no,no,no,Charity,Primary,36275.17,11979.62,6,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,78.09,High
Mrs,Male,United Kingdom,Company,no,yes,no,Partnership,Secondary,31613.37,10556.04,9,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,100.0,High
Ms,Male,United Kingdom,Trust,yes,no,yes,Charity,Both,6538.87,5683.32,3,yes,no,yes,no,yes,yes,no,yes,no,yes,no,no,yes,no,43.05,Medium
Mr,Female,China,Partnership,yes,no,no,Limited Company,Secondary,7078.78,18709.5,5,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,yes,87.56,High
Mr,Prefer not to say,Russia,Company,no,yes,yes,Limited Company,Primary,33678.44,3108.21,6,no,yes,no,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,82.72,High
Prof,Other,United Kingdom,Individual,yes,no,no,Partnership,Both,27192.57,11614.55,1,no,no,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,no,84.45,High
Mr,Prefer not to say,United Kingdom,Trust,no,no,yes,Sole Trader,Both,3935.5,22187.21,8,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,40.3,Medium
Ms,Male,United Kingdom,Company,yes,yes,yes,Partnership,Primary,6341.93,21266.88,2,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,100.0,High
Prof,Male,France,Trust,yes,no,yes,Limited Company,Primary,24795.12,11565.84,6,no,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,100.0,High
Prof,Female,United Kingdom,Company,yes,yes,no,Partnership,Both,7427.13,857.41,1,no,no,yes,no,no,no,yes,no,no,yes,yes,no,no,yes,100.0,High
Dr,Other,United Kingdom,Company,no,yes,yes,Limited Company,Secondary,3405.71,13065.58,6,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,63.61,Medium
Dr,Female,United Kingdom,Individual,no,no,no,Sole Trader,Secondary,18635.48,6874.09,2,no,no,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,53.09,Medium
Mr,Prefer not to say,United Kingdom,Company,no,yes,no,Sole Trader,Both,1271.0,23664.39,7,no,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,yes,73.55,High
Dr,Other,Germany,Trust,yes,yes,no,LLP,Both,23693.15,2645.38,0,yes,no,yes,no,no,yes,no,no,no,yes,yes,no,no,yes,98.39,High
Prof,Female,United Kingdom,Individual,yes,yes,yes,Sole Trader,Secondary,14319.84,15231.22,10,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,53.64,Medium
Mrs,Female,United Kingdom,Company,no,no,yes,Charity,Secondary,36547.86,24543.2,5,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,66.19,Medium
Prof,Male,Pakistan,Trust,yes,yes,yes,Charity,Both,46275.8,14062.49,1,yes,yes,no,yes,no,no,yes,no,yes,yes,no,no,yes,yes,100.0,High
Dr,Prefer not to say,United Kingdom,Individual,no,no,yes,LLP,Secondary,9455.67,16849.04,10,no,yes,yes,yes,no,no,no,yes,no,yes,no,no,yes,no,71.88,High
Ms,Female,United Kingdom,Trust,no,no,yes,Charity,Both,6385.64,20275.19,10,no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,yes,no,71.0,High
Mrs,Prefer not to say,China,Partnership,yes,no,yes,Partnership,Primary,34300.42,19866.0,3,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,100.0,High
Ms,Male,United Kingdom,Company,yes,yes,no,Sole Trader,Primary,2197.0,17071.55,6,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,75.21,High
Ms,Other,United Kingdom,Individual,yes,yes,yes,Limited Company,Both,5595.77,5611.25,6,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,59.15,Medium
Prof,Other,Germany,Individual,yes,no,yes,Charity,Primary,1566.24,14720.49,3,no,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,100.0,High
Ms,Female,Pakistan,Company,yes,no,no,Charity,Primary,29972.16,7492.44,7,yes,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,yes,72.88,High
Dr,Female,United Kingdom,Individual,no,yes,yes,Partnership,Secondary,21262.26,633.24,6,no,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,86.13,High
Ms,Female,United States,Individual,yes,no,yes,Partnership,Both,6320.24,15690.65,0,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,no,100.0,High
Ms,Male,Turkey,Individual,yes,no,no,LLP,Both,32915.75,24281.83,7,no,yes,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,100.0,High
Dr,Prefer not to say,United Kingdom,Company,no,yes,no,Limited Company,Primary,29575.32,1043.71,5,no,no,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,76.19,High
Dr,Male,France,Individual,yes,yes,yes,Limited Company,Secondary,43144.79,5746.33,7,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,69.36,Medium
Dr,Prefer not to say,Iran,Trust,yes,no,yes,Limited Company,Primary,48099.4,2012.93,3,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,100.0,High
Dr,Other,United Kingdom,Company,yes,no,yes,Limited Company,Secondary,48107.55,6938.07,3,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,75.53,High
Mr,Prefer not to say,Germany,Company,no,yes,yes,LLP,Both,48907.44,4746.13,7,yes,no,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,84.45,High
Mrs,Female,United States,Company,no,yes,yes,LLP,Primary,11355.92,11504.48,9,no,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,98.72,High
Dr,Prefer not to say,United States,Trust,no,yes,yes,Charity,Both,9243.06,3933.99,6,no,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,66.56,Medium
Ms,Other,United States,Partnership,no,no,yes,Partnership,Both,48462.76,12268.48,5,no,no,no,yes,no,no,no,yes,yes,no,no,yes,no,yes,100.0,High
Ms,Male,United Kingdom,Company,no,yes,no,Sole Trader,Secondary,42684.54,19190.99,8,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,77.22,High
Mr,Other,Brazil,Individual,no,yes,no,Partnership,Primary,36922.12,11758.47,6,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,88.05,High
Dr,Male,Brazil,Partnership,no,yes,yes,Partnership,Primary,26179.33,21450.94,10,no,yes,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,70.38,High
Ms,Female,United States,Company,no,no,no,Limited Company,Both,22468.91,24365.2,4,yes,no,no,no,yes,yes,yes,no,yes,yes,no,no,yes,yes,91.11,High
Mr,Prefer not to say,Germany,Trust,yes,yes,yes,Limited Company,Primary,31028.89,19887.46,10,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,yes,100.0,High
